"","max_hut_mortality","res_mort_1","res_mort_2","max_hut_feeding","max_hut_feed_scaled","res_succ_1","res_succ_2","max_hut_deterrence","res_det_1","res_det_2","LD20","LD50","mosqSurv","LD50_prediction","LD50_prediction_upper","LD50_prediction_lower","LD20_prediction","LD20_prediction_upper","LD20_prediction_lower"
"1",0.920454545454545,4.8071980866325,-0.101305264620252,0.840909090909091,0.0668904958677686,-2.09974375197738,0.034504337034678,0,-14.0224415371401,-0.101305264620252,61,47,0.99007397260274,-10.1841197082356,59.6027437084282,-79.9709831248994,49.4812800975523,158.738408656104,-59.7758484609991
"2",0.8125,-0.00745388395697227,-0.016044257984468,0.75,0.140625,-0.475899022903674,0.0139139166963161,0.272727272727273,-2.08911033514622,-0.016044257984468,86,0,0.494319178082192,-9.41074447781437,49.0676871109873,-67.8891760666161,61.5244831869204,163.376477548677,-40.3275111748365
"3",0.108108108108108,-0.808498854432793,-0.0101719071433552,0.864864864864865,0.77136596055515,-0.407703675013926,0.0125177090403356,0.159090909090909,-1.36410167180147,-0.0101719071433552,57,0,0.311276712328767,-7.71475856365185,41.5275678819529,-56.9570850092566,73.5676862762886,168.190101533038,-21.054728980461
"4",0.56328125,0.444989413301801,-0.00760947970726154,0.515625,0.22518310546875,-1.35026604975262,0.00525982775503716,0,-4.04239858106418,-0.00760947970726154,240,58,0.607323287671233,-5.09616196574803,37.1588562863249,-47.351180217821,85.6108893656567,173.22275090004,-2.00097216872668
"5",0.674418604651163,-0.156673002092039,-0.00759913960211164,0.992248062015504,0.323057508563187,0.0205303842541023,0.00622581255893069,0,-3.58475718557551,-0.00759913960211164,162,0,0.45896301369863,-1.55495468410292,36.0361621316999,-39.1460714999058,97.6540924550249,178.531401961246,16.7767829488041
"6",0.310344827586207,0.582708370245367,-0.017534440950354,0.689655172413793,0.475624256837099,-1.51450003510096,0.0207650708825199,0.340909090909091,-2.31645279922436,-0.017534440950354,112,33,0.635256164383562,2.90886328128349,37.9835447527784,-32.1658181902114,109.697295544393,184.190947645468,35.2036434433184
"7",0.15,-0.902055730016016,-0.00861247893037863,0.7,0.595,-0.679073828310976,0.0136018457311969,0,-1.65105870771907,-0.00861247893037863,57,0,0.290439726027397,8.29529193041119,42.5123174305857,-25.9217335697633,121.740498633761,190.299475527328,53.1815217401939
"8",0.95,3.78953796831471,-0.01473190024604,0.583333333333333,0.0291666666666667,-4.58484059922814,0.0159379540388726,0.154929577464789,-2.77131482055159,-0.01473190024604,360,257,0.972308219178082,14.6043312632802,48.9552537848582,-19.7465912582978,133.783701723129,196.983595085186,70.5838083610731
"9",0.696969696969697,1.12925517406879,-0.00603336752870983,0.363636363636364,0.110192837465565,-2.47021883859834,0.00859842272539497,0.773972602739726,0.571859402241872,-0.00603336752870983,365,187,0.743867123287671,21.8359812798905,56.6819294385498,-13.0099668787689,145.826904812498,204.401505350646,87.2523042743486
"10",0.921875,3.49793510614533,-0.0212067794059609,0.640625,0.050048828125,-4.06357993841568,0.0199847519326468,0.529411764705882,0.306617333716298,-0.0212067794059609,233,165,0.965446575342466,29.990241980242,65.2225529627259,-5.24206900224187,157.870107901866,212.739090345301,103.001125458431
"11",0.866666666666667,2.42015683534204,-0.0105272362971379,0.488888888888889,0.0651851851851852,-3.25914438332491,0.0104864666062768,0.476744186046512,7.50746240657872,-0.0105272362971379,365,229,0.908068493150685,39.0671133643349,74.2842334316531,3.84999329701666,169.913310991234,222.192281328245,117.634340654223
"12",0.67481662591687,1.14429694645229,-0.00876965199407158,0.713936430317848,0.232160257291623,-1.51697446596998,0.00698162399706105,0,-16.966681355911,-0.00876965199407158,288,130,0.756750684931507,49.0665954321691,83.7270459765156,14.4061448878225,181.956514080602,232.931413232675,130.981614928529
"13",0.659517426273458,0.973412027836519,-0.0069152017534026,0.619302949061662,0.210861862012952,-1.54643305321556,0.00571324148501404,0,-2.51863078732308,-0.0069152017534026,341,140,0.723995890410959,59.9886881837445,93.5479109949851,26.4294653725038,193.99971716997,245.055118907454,142.944315432486
"14",0.556300268096515,0.535101434776199,-0.00802319557740884,0.652815013404826,0.289653846430291,-0.991027414336696,0.00520124129824275,0.230927835051546,-1.53761037611807,-0.00802319557740884,239,66,0.62886301369863,71.8333916190612,103.892021263891,39.7747619742319,206.042920259338,258.557031206145,153.528809312532
"15",0.0769230769230769,-3.16638160410302,0.000648402036445076,0.935897435897436,0.863905325443787,1.71411745644147,0.01359666343453,0.0126582278481013,-6.10102127934809,0.000648402036445076,0,0,0.0414287671232877,84.6007057381193,115.098585073157,54.102826403081,218.086123348706,273.328079771673,162.84416692574
"16",0.148496240601504,-2.0239325615568,-0.000794165982751924,0.678571428571429,0.57780612244898,0.888854993322733,0.00170040442157499,0.338308457711443,-1.63054660779228,-0.000794165982751924,0,0,0.117523287671233,98.2906305409186,127.765562529387,68.8156985524503,230.129326438075,289.192680129567,171.065972746583
"17",0.537634408602151,-0.411939463788709,-0.00151640231236499,0.623655913978495,0.288357035495433,-0.157796611825876,0.0036488614439299,0.537313432835821,-0.601956122045478,-0.00151640231236499,365,0,0.398421917808219,112.903166027459,142.743552080367,83.0627799745512,242.172529527443,305.954579103177,178.390479951708
"18",0.600950118764846,0.0716925980157973,-0.00203826381871182,0.691211401425178,0.275827827647102,-0.54248578255586,0.00392199353676034,0.47636815920398,-0.788882091100947,-0.00203826381871182,365,34,0.518360273972603,128.438312197741,160.890989178276,95.9856352172059,254.215732616811,323.430500158301,185.000965075321
"19",0.0799522673031026,-2.02339107568616,-0.00523467961862484,0.883054892601432,0.81245265178485,1.40438989346962,0.0039243414036029,0.0861504907306434,-1.40592600204353,-0.00523467961862484,0,0,0.11683698630137,144.896069051764,182.661972859681,107.130165243848,266.258935706179,341.465865855663,191.052005556696
"20",0.666666666666667,1.6623068672359,-0.0257165398596462,0.166666666666667,0.0555555555555556,-3.22658420353146,0.00213154437427727,0.032258064516129,-3.38340948555561,-0.0257165398596462,119,64,0.831008219178082,162.276436589529,207.996278926208,116.55659425285,278.302138795547,359.937576799774,196.66670079132
"21",0.783333333333333,2.04093267622716,-0.0290327545117662,0.183333333333333,0.0397222222222222,-3.19101833280856,-3.19101833280856,0.032258064516129,-8.98182239667281,-0.0290327545117662,118,70,0.876353424657534,180.579414811035,236.589912585891,124.568917036178,290.345341884915,378.7504957659,201.940188003931
