"","Prop_dying_at_bioassay","irs_decay_mort1_1","irs_decay_mort2_1","irs_decay_succ1_1","irs_decay_succ2_1","irs_decay_det1_1","irs_decay_det2_1"
"1",1,2.00218778508094,-0.0138130962391865,-2.53141354744456,0.0116097240823414,-2.65217593116374,-0.0138130962391865
"2",0.95,1.88557778629465,-0.0135381128288721,-2.46561718781912,0.0115484667571578,-2.64812211266534,-0.0135381128288721
"3",0.9,1.76108255009257,-0.0132445348769378,-2.39078931937521,0.0114788009717532,-2.64405757963179,-0.0132445348769378
"4",0.85,1.62885090035025,-0.0129327133318207,-2.30607550066936,0.0113999312292697,-2.63998231830811,-0.0129327133318207
"5",0.8,1.48916731434966,-0.0126033190325053,-2.21066089979671,0.0113110989098801,-2.63589631501835,-0.0126033190325053
"6",0.75,1.34246083939512,-0.0122573637352058,-2.1038134408827,0.0112116224407714,-2.63179955616626,-0.0122573637352058
"7",0.7,1.18930924630321,-0.0118962099079026,-1.98493518907883,0.0111009451362904,-2.62769202823606,-0.0118962099079026
"8",0.65,1.03043743898168,-0.0115215669798965,-1.85362026685927,0.0109786891188198,-2.62357371779312,-0.0115215669798965
"9",0.6,0.86670943305571,-0.0111354724262381,-1.70971608366234,0.0108447123244263,-2.61944461148466,-0.0111354724262381
"10",0.55,0.69911363285428,-0.0107402570487111,-1.55338300405341,0.0106991640547488,-2.61530469604049,-0.0107402570487111
"11",0.5,0.528741643390282,-0.010338495011386,-1.38514605801728,0.0105425331199994,-2.61115395827373,-0.010338495011386
"12",0.45,0.356761400304795,-0.00993294047710445,-1.20593130385456,0.0103756816933256,-2.60699238508151,-0.00993294047710445
"13",0.4,0.184385919997829,-0.00952645391572254,-1.01707942810466,0.0101998579725269,-2.60281996344571,-0.00952645391572254
"14",0.35,0.0128393945236582,-0.00912192215092146,-0.820330469957547,0.0100166819582707,-2.59863668043366,-0.00912192215092146
"15",0.3,-0.156677379483679,-0.00872217683656417,-0.61777632015438,0.00982810122990788,-2.59444252319889,-0.00872217683656417
"16",0.25,-0.323020181224523,-0.00832991621243214,-0.411781631896701,0.00963631731243073,-2.59023747898183,-0.00832991621243214
"17",0.2,-0.485131239085671,-0.00794763465849758,-0.204878353961957,0.00944368748533757,-2.58602153511056,-0.00794763465849758
"18",0.15,-0.642064207051165,-0.00757756379689851,0.000356684842159005,0.00925261081205855,-2.58179467900152,-0.00757756379689851
"19",0.1,-0.793003118752222,-0.00722162779552041,0.201428834365478,0.00906540984655164,-2.57755689816025,-0.00722162779552041
"20",0.05,-0.937274730664984,-0.00688141426093295,0.396044210618033,0.00888422022668963,-2.57330818018211,-0.00688141426093295
"21",0,-1.07435420547108,-0.00655816083619563,0.582208166799924,0.00871089899636283,-2.56904851275304,-0.00655816083619563
